Study ID;Title;Authors;RQ 1.1 Year;RQ 1.2 Venue;RQ 1.3 Country;RQ 1.4 Author's affiliation;RQ 1.4 Author's affiliation;RQ 1.5 Company;RQ 1.5 Company;RQ 1.6 Research results;RQ 2.1 Analytics type;RQ 2.2 Data Source;RQ 2.3 Methods;RQ 3.1 BDA purpose;RQ 3.2 Agile purpose;RQ 3.3 Tools
S25;The impact of rapid release cycles on the integration delay of fixed issues;Daniel Alencar da Costa, Shane McIntosh, Christoph Treude, Uira ? Kulesza, Ahmed E. Hassan;2018;Empirical Software Engineering;3 x Canada/1 x Australia, 1x Brazil;Academic;Queen’s University, McGill University,University of Adelaide, Federal University of Rio Grande do Norte;Firefox;Global (USA);Procedure or technique;Predictive;Issue reports/Project execution;Logistic Regression;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement/6.6. Software Release Management and Delivery - 6.6.2. Software Release Management;N/A;N/A
S26;Detecting terminological ambiguity in user stories: Tool and experimentation;Fabiano Dalpiaz, Ivor van der Schalk, Sjaak Brinkkemper, Fatma Ba?ak Aydemir, Garm Lucassen;2019;IST;4 x Netherlands/1 x Turkey;Both;Utrecht University, Bo ?aziçi University, Secfi Inc.;N/A;N/A;Solution, prototype or judgment;Descriptive/Predictive;Project artifacts;Visualization;1.5 Requirements Specification - 1.5.5 Software Requirements Specification;Story mapping;REVV-Light Tool
S27;Predicting Likelihood of Requirement Implementation within the Planned Iteration: An Empirical Study at IBM;Dehghan, Adam Neal, Kelly Blincoe, Johan Linaker, Daniela Damian;2017;MSR;3 x Canada/1 x New Zealand/1 x Sweden;Both;"University of Victoria
Persistent Systems
University of Auckland
Lund University";IBM;Global (USA);Solution, prototype or judgment;Predictive;Source code;Random Forest;1.4. Requirements Analysis - 1.4.4 Requirements negotiation;Other - Not Specified/Story mapping/Release planning;N/A
S28;Data Science: Technologies for Better Software;Christof Ebert, Jens Heidrich, Silverio Martinez-Fernandez, Adam Trendowicz;2019;IEEE Software;4 x Germany;Industry;Vector Consulting Services. ;N/A;N/A;Report;Descriptive/Predictive;Logs/Issue reports/Source code/Project execution;Random Forest;7.6 Software Engineering Measurement;Other - Not Specified;Q-Rapids
S29;Techniques for Improving Regression Testing in Continuous Integration Development Environments;Elbaum, Gregg Rothermel, John Penix;2014;ESEC/FSE;3 x USA;Both;"University of Nebraska
Google";Google;Global (USA);Solution, prototype or judgment;Predictive;Logs;Custom algorithm;4.5 Test Process - 4.5.2. Test Activities;Other - Not Specified/Continuous integration;N/A
S30;The evolution of continuous experimentation in software product development: from data to a data-driven organization at scale.;Fabijan, Aleksander and Dmitriev, Pavel and Olsson, Helena Holmström and Bosch, Jan;2017;ICSE;3 x Sweden/1 x USA;Both;"Malmo University
Microsoft
Chalmers University of Technology";Microsoft;Global (USA);Qualitative or descriptive model;Descriptive;User feedback;N/A;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;Other - Not Specified;N/A
S31;Evidence-based decision making in lean software project management;Fitzgerald, Mariusz Musia?, Klaas-Jan Stol;2014;ICSE;2 x Ireland/1 x Poland;Both;"Lero
Ericpol";Ericpol;Multinational;Solution, prototype or judgment;Predictive;Project execution;Erlang C;7.2 Software project planning - 7.2.4. Resource allocation;Kanban;N/A
S32;ABayesian networks-based approach to assess and improve the teamwork qualityof agile teams;Arthur Freire, Mirko Perkusich, Renata Saraiva, Hyggo Almeida, Angelo Perkusich;2018;IST;5 x Brazil;Academic;Federal University of Campina Grande (4 incl 1st author), Federal Institute of Paraiba,;Virtus;Brazil;Procedure or technique;Descriptive;User feedback;Naive Bayes;11.2 Group Dynamics and Psychology - 11.2.1 Dynamics of Working in Teams/Groups/11.3 Communication Skills -11.3.3 Team and Group Communication;Scrum/Iteration/sprint planning/Release planning;N/A
S33;A Dissection of the Test-Driven Development Process: Does It Really Matter to Test-First or to Test-Last?;Fucci, Hakan Erdogmus, Burak Turhan, Markku Oivo, Natalia Juristo;2017;TSE;4 x Finland/1 x USA/1 x Spain;Academic;"University of Oulu
Carnegie Mellon University
Universidad Politecnica de Madrid";not disclosed (2 companies);Multinational;Empirical model;Descriptive;Source code;Linear regression models;3.4. Construction Technologies - 3.4.16. Test-First Programming;Other - Not Specified/Test-driven development (TDD);N/A
S34;Improving Understanding of Dynamically Typed Software Developed by Agile Practitioners;García, Kelly Garcés;2017;ESEC/FSE;2 x Colombia;Both;"Grupo Saberes SAS
School of Engineering, Universidad de los Andes";Grupo Saberes;Colombia;Solution, prototype or judgment;Predictive;Source code;N/A;1.4. Requirements Analysis - 1.4.4 Requirements negotiation;Scrum/Story mapping/Iteration/sprint planning;N/A
S35;Multi-sprint planning and smooth replanning: An optimization model;Golfarelli, Stefano Rizzi, Elisa Turricchia;2013;JSS;3 x Italy;Academic;University of Bologna;not disclosed (2 companies);2 x Italy;Analytic model;Predictive;Project artifacts/Project execution;IBM ILOG CPLEX Optimizer;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Scrum/Sprint/Iteration planning/Release planning;N/A
S36;Ensemble Methods for App Review Classification: An Approach for Software Evolution;Guzman, Muhammad El-Halaby, Bernd Bruegge;2015;ASE;3 x Germany;Academic;"Technische Universitaet Muenchen
Valeo";N/A;N/A;Procedure or technique;Descriptive;User feedback;Naive Bayes/SVM/logistic regression/Neural networks;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;Other - Not Specified/Dedicated product owner/customer;N/A
S37;On the Use of Hidden Markov Model to Predict the Time to Fix Bugs;Mayy Habayeb , Syed Shariyar Murtaza, Andriy Miranskyy, Ayse Basar Bener;2018;TSE;4 x Canada;Academic;Ryerson University;Firefox Bugzilla Project;Global;Procedure or technique;Predictive;Issue reports;KNN/HMM;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;N/A;N/A
S38;Operational release planning in large-scale Scrum with multiple stakeholders – A longitudinal case study at F-Secure Corporation;Heikkiläa, Maria Paasivaaraa, Kristian Rautiainen, Casper Lassenius, Towo Toivola, Janne Järvinen;2015;IST;6 x Finland;Both;"Aalto University
F-Secure";F-Secure;Finland;Qualitative or descriptive model;?;User feedback;N/A;1.4. Requirements Analysis - 1.4.4 Requirements negotiation;Scrum/Release planning/Retrospectives;N/A
S39;AppFlow: Using Machine Learning to Synthesize Robust, Reusable UI Tests;Gang Hu, Linjie Zhu, Junfeng Yang;2018;ESEC/FSE;3 x USA;Academic;Columbia University;N/A;N/A;Tool;Predictive;User feedback;N/A;4.5 Test Process - 4.5.2. Test Activities/2.2 Objectives of Testing - 2.2.13 Usability and Human Computer Interaction Testing;Behavior-driven development (BDD);AppFlow
S40;Strong Agile Metrics: Mining Log Data to Determine Predictive Power of Software Metrics for Continuous Delivery Teams;Huijgens, Robert Lamping, Dick Stevens, Hartger Rothengatter, Georgios Gousios, and Daniele Romano;2017;ESEC/FSE;6 x Netherlands;Both;"Delft University of Technology
ING Bank
CGI";ING;Netherlands;Report;Predictive;Logs/Project artifacts;N/A;7.6. Software Engineering Measurement;Scrum/Continuous delivery/DevOps;N/A
S41;Feature Crumbs: Adapting Usage Monitoring to Continuous Software Engineering;Jan Ole Johanssen, Anja Kleebaum, Bernd Bruegge, and Barbara Paech;2018;PROFES;4 x Germany;Academic;Technical University of Munich, Heidelberg University;N/A;N/A;Tool;Descriptive;Logs/Source code;N/A;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement/7.6. Software Engineering Measurement;Continuous delivery;Crumb Management Platform
S42;Applying Data Analytics towards Optimized Issue Management: An Industrial Case Study;Karim, S M Didar Al Alam, haikh Jeeshan Kabeer, Günther Ruhe, Basil Baluta, Shafquat Mahmud;2016;CESI;6 x Canada;Both;"University of Calgary
Plexina Inc.";Plexina;Canada;Solution, prototype or judgment;Predictive;Issue reports;Clustering/KNN/SVM;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation/10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;Scrum/Iteration/sprint planning/Dedicated product owner/customer/Team-based estimation (e.g. Planning Poker);N/A
S43;Behavior-Driven Dynamics in Agile Development: The Effect of Fast Feedback on Teams;Fabian Kortum, Jil Klünder, Kurt Schneider;2019;ICSSP;3 x  Germany;Academic;Leibniz University Hannover;N/A; 130 undergraduate students working on 15 software projects;Tool;Descriptive;User feedback/Project execution/Organization data/Other;N/A;11.2 Group Dynamics and Psychology - 11.2.1 Dynamics of Working in Teams/Groups;Scrum/Team-based estimation (e.g. Planning Poker)/Iteration/sprint planning/Dedicated product owner/customer/Retrospectives/Standups;ProDynamics
S44;Supporting Agile Teams with a Test Analytics Platform: A Case Study;Liechti, Jacques Pasquier, Rodney Reis;2017;AST;3 x Switzerland;Both;"University of Applied Sciences and Arts Western Switzerland
Fribourg Univesity
Avalia Systems";Avalia Systems;Multinational;Report;Descriptive;Logs;Visualization;4.5 Test Process - 4.5.2. Test Activities;Custom XP/Behavior-driven development (BDD)/Pair programming;Probe Doc
S45;Context-aware task allocation for distributed agile team;Lin;2013;ASE;1 x Singapore;Academic;Nanyang Technological University, Singapore;N/A;N/A;Procedure or technique;Predictive;Project artifacts;Graph based approach;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation/7.2 Software project planning - 7.2.4. Resource allocation;Scrum/Iteration/sprint planning/Team-based estimation (e.g. Planning Poker);N/A
S46;Studying Task Allocation Decisions of Novice Agile Teams with Data from Agile Project Management Tools;Lin, Han Yu, Zhiqi Shen, Chunyan Miao;2014;ASE;4 x Singapore/1 x China;Academic;"Nanyang Technological University, Singapore
School of Software, Beihang University, Beijing, China";N/A;N/A;Procedure or technique;Predictive;Logs;Exploratory Data Analysis (EDA);7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Scrum/Iteration/sprint planning/Team-based estimation (e.g. Planning Poker);Human-centered Agile Software
S47;Raising the odds of success: the current state of experimentation in product development;Lindgren, Jürgen Münch;2016;IST;2 x Finland /1 x Germany;Academic;"University of Helsinki
Reutlingen University";not disclosed (10 companies);Finland;Report;?;User feedback;N/A;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;Custom Hybrid (multiple methodologies)/Continuous integration/Pair programming/Agile/Lean UX;N/A
S48;Automatic Classification of Non-Functional Requirements from Augmented App User Reviews;Lu, Peng Liang;2017;EASE;2 x China;Academic;School of Computer Science, Wuhan University;N/A;N/A;Procedure or technique;Predictive;User feedback;Naive Bayes/J48Bagging/Classification;1.3. Requirements Elicitation - 1.3.2. Elicitation Techniques;Other - Not Specified;N/A
S49;Using simulation for understanding and reproducing distributed software development processes in the cloud;M. Ilaria Lunesu, Jürgen Münch, Michele Marchesi, Marco Kuhrmann;2018;IST;2 x Italy/2 x Germany;Academic;University of Cagliari (2 incl 1st author), Bo?blingen & Reutlingen University, Clausthal University of Technology;not disclosed;Finland and Spain;Procedure or technique;Prescriptive;Project artifacts/Project execution;N/A;11.2 Group Dynamics and Psychology - 11.2.1 Dynamics of Working in Teams/Groups/7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Scrum/Kanban/Story mapping/Iteration/sprint planning/Release planning/Retrospectives;N/A
S50;Toward Data-Driven Requirements Engineering;Maalej, Maleknaz Nayebi, Timo Johann, Guenther Ruhe;2015;IEEE Software;2 x Germany/2 x Canada;Academic;"University of Hamburg
University of Calgary";N/A;N/A;Procedure or technique;Predictive;User feedback/Logs;N/A;1.4. Requirements Analysis - 1.4.4 Requirements negotiation/10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;Other - Not Specified;N/A
S51;Predicting pull request completion time: a case study on large scale cloud services;Chandra Maddila,  Chetan Bansal, Nachiappan Nagappan;2019;ESEC/FSE;3 x USA;Industry;Microsoft Research;Microsoft;Global;Procedure or technique;Predictive;Logs/Source code/Project execution/Organization data;linear regression/gradient boosting;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Not Specified/Continuous integration/Continuous delivery/Continuous deployment;PRLifetime Service
S52;An ensemble-based model for predicting agile software development effort;Onkar Malgonde, Kaushal Chari;2019;Empirical Software Engineering;2 x USA;Academic;Northern Illinois University, University of South Florida;not disclosed;not disclosed;Procedure or technique;Predictive;Project artifacts/Project execution/Organization data;Bayesian network/Ridge regression/linear regression/Neural network/SVM/decision trees/KNN/custom ensemble algorithm;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Not Specified/Story mapping/Sprint/Iteration planning/Collective code ownership;N/A
S53;Using Bayesian Networks to estimate Strategic Indicators in the context of Rapid Software Development;Martí Manzano, Emilia Mendes, Cristina Gómez, Claudia Ayala, Xavier Franch;2018;PROMISE;4 x Spain/1 x Finland;Academic;Universitat Politècnica de Catalunya (4 incl 1st author), University of Oulu;not disclosed;not disclosed;Procedure or technique;Predictive;Issue reports/Source code;Naive Bayes;7.6. Software Engineering Measurement;N/A;N/A
S54;Test case prioritization for continuous regression testing: An industrial case study.;Marijan, A. Gotlieb, and S. Sen;2013;ICSME;3 x Norway;Both;Simula Research Laboratory;not disclosed (1 company);not disclosed;Empirical model;Predictive;Logs;Heuristics;4.5 Test Process - 4.5.2. Test Activities;Other - Not Specified/Continuous integration;ROCKET
S55;Multi-armed bandits in the wild: Pitfalls and strategies in online experiments;David Issa Mattos, Jan Bosch, Helena Holmström Olsso;2019;IST;3 x Sweden;Academic;Chalmers University of Technology, MalmöUniversity;not disclosed (5 companies);international;Report;Adaptive;User feedback;Multi-armed bandit;4.5 Test Process - 4.5.2. Test Activities;Other - Not Specified/Continuous experimentation;N/A
S56;Asymmetric Release Planning: Compromising Satisfaction against Dissatisfaction;Maleknaz Nayebi, Guenther Ruhe;2019;TSE;2 x Canada;Academic;University of Calgary;not disclosed (1 company) ;not disclosed;Procedure or technique;Prescriptive;User feedback/Project artifacts;Custom algorithm;6.6 Software Release Management and Delivery - 6.6.2. Software Release Management; Other - Not Specified/Release planning;N/A
S57;Collaborative prioritization of architectural concerns;Pareto, Anna Börjesson Sandberg, Peter Eriksson, Staffan Ehnebom;2012;JSS;4 x Sweden;Both;"Chalmers University of Technology and University of Gothenburg
Ericsson";Ericsson;Sweden;Procedure or technique;Descriptive;User feedback;N/A;2.3. Software Structure and Architecture - 2.3.4 Architecture Design Decisions;Custom Hybrid (multiple methodologies)/Other - Rational Unified Process (RUP)/Model-Driven Development (MDD);N/A
S58;An approach for effort estimation in incremental software development using cosmic function points;Paz, Claudia Zapata, José Antonio Pow-Sang;2014;ESEM;3 x Peru;Academic;Pontificia Universidad Catolica del Peru;N/A;N/A;Procedure or technique;Predictive;User feedback;Cosmic Function Points;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Rational Unified Process (RUP)/Other - Not Specified;N/A
S59;FastLane: Test Minimization for Rapidly Deployed Large-Scale Online Services;Adithya Abraham Philip, Ranjita Bhagwan, Rahul Kumar, Chandra Sekhar Maddila, Nachiappan Nagappan;2019;ICSE;4 x India/1 x USA;Industry;Microsoft Research;Microsoft;Global;Tool;Predictive;Logs/Source code/Project execution;Logistic Regression/SVM, Binary Neural Network, Local-Deep SVM, Extreme Gradient Boosting, FastTree;7.2 Software Project Planning and Cost Estimation - 7.2.5. Risk Management;Other - Not Specified/Continuous integration/Continuous deployment;FastLane
S60;Towards Continuous Software Reliability Testing in DevOps;Roberto Pietrantuono, Antonia Bertolino, Guglielmo De Angelis, Breno Miranda, Stefano Russo;2019;AST;4 x Italy/1 x Brazil;Academic;Università degli Studi di Napoli Federico II, CNR–ISTI, CNR–IASI, Federal University of Pernambuco;N/A;N/A;Procedure or technique;Descriptive/Predictive;Logs;N/A;7.2 Software Project Planning and Cost Estimation - 7.2.5. Risk Management/8.3 Software Process Assessment and Improvement;Continuous integration/ Continuous deployment;N/A
S61;Estimating Story Points from Issue Reports;Porru, Alessandro Murgia, Serge Demeyer, Michele Marchesi, Roberto Tonelli;2016;PROMISE;3 x Italy/2 x Belgium;Academic;"University of Cagliari
University of Antwerpen";not disclosed (1 company);Belgian;Procedure or technique;Predictive;Project execution;SVM/KNN/Decision Tree/Naive Bayes;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Custom XP/Pair programming/Team-based estimation (e.g. Planning Poker)/Iteration/sprint planning;N/A
S62;An effective approach for software project effort and duration estimation with machine learning algorithms;Pospieszny, BeataCzarnacka-Chrobot, AndrzejKobylinski;2018;JSS;3 x Poland;Academic;Warsaw School of Economics;N/A;N/A;Procedure or technique;Predictive;Project execution;SVM/Neural networks/Generalized Linear Models;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Not Specified;N/A
